"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","subname","question_order","gender","varimages","baseimage","baseimagestr","baseimagestr2","stimulus","response_type","key_press","avg_frame_time","center_x","center_y"
"","psychophysics","43","122248","0.0-6.0-0.33","1704","f","","","","","","","","","key","f","16.637254901960784","720","250"
"","psychophysics","44","124962","0.0-6.0-0.34","2708","j","","","","","","","","","key","j","16.666666666666668","720","250"
"","psychophysics","45","126634","0.0-6.0-0.35","1663","f","","","","","","","","","key","f","16.67676767676768","720","250"
"","psychophysics","46","128360","0.0-6.0-0.36","1717","j","","","","","","","","","key","j","16.62135922330097","720","250"
"","psychophysics","47","130023","0.0-6.0-0.37","1653","f","","","","","","","","","key","f","16.663265306122447","720","250"
"","psychophysics","48","132297","0.0-6.0-0.38","2267","f","","","","","","","","","key","f","16.610294117647058","720","250"
"","psychophysics","49","134587","0.0-6.0-0.39","2281","f","","","","","","","","","key","f","16.669117647058822","720","250"
"","psychophysics","50","136538","0.0-6.0-0.40","1943","j","","","","","","","","","key","j","16.612068965517242","720","250"
"","psychophysics","51","138153","0.0-6.0-0.41","1607","j","","","","","","","","","key","j","16.59375","720","250"
"","psychophysics","52","140779","0.0-6.0-0.42","2619","j","","","","","","","","","key","j","16.643312101910826","720","250"
"","psychophysics","53","143568","0.0-6.0-0.43","2780","f","","","","","","","","","key","f","16.66867469879518","720","250"
"","psychophysics","54","146369","0.0-6.0-0.44","2792","j","","","","","","","","","key","j","16.634730538922156","720","250"
"","psychophysics","55","148205","0.0-6.0-0.45","1826","j","","","","","","","","","key","j","16.605504587155963","720","250"
"","psychophysics","56","150359","0.0-6.0-0.46","2147","j","","","","","","","","","key","j","16.6046511627907","720","250"
"","psychophysics","57","152145","0.0-6.0-0.47","1776","j","","","","","","","","","key","j","16.660377358490567","720","250"
"","psychophysics","58","155162","0.0-6.0-0.48","3008","j","","","","","","","","","key","j","16.67222222222222","720","250"
"","psychophysics","59","157029","0.0-6.0-0.49","1859","f","","","","","","","","","key","f","16.675675675675677","720","250"
"","psychophysics","60","159550","0.0-6.0-0.50","2513","f","","","","","","","","","key","f","16.673333333333332","720","250"
"","psychophysics","61","162205","0.0-6.0-0.51","2647","j","","","","","","","","","key","j","16.651898734177216","720","250"
"","psychophysics","62","163900","0.0-6.0-0.52","1687","f","","","","","","","","","key","f","16.594059405940595","720","250"
"","psychophysics","63","166698","0.0-6.0-0.53","2790","f","","","","","","","","","key","f","16.646706586826348","720","250"
"","psychophysics","64","168644","0.0-6.0-0.54","1939","j","","","","","","","","","key","j","16.67241379310345","720","250"
"","psychophysics","65","171903","0.0-6.0-0.55","3249","j","","","","","","","","","key","j","16.670103092783506","720","250"
"","psychophysics","66","175770","0.0-6.0-0.56","3859","f","","","","","","","","","key","f","16.649350649350648","720","250"
"","psychophysics","67","177869","0.0-6.0-0.57","2093","f","","","","","","","","","key","f","16.624","720","250"
"","psychophysics","68","179970","0.0-6.0-0.58","2097","f","","","","","","","","","key","f","16.648","720","250"
